appln_id,full_pub_number
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
611474683,US12176059B2
612372230,EP4471771A1
612372230,EP4471771A1
612372230,EP4471771A1
614397597,CN118314932A
614397597,CN118314932A
615501992,EP4503032A1
615501992,EP4503032A1
617607493,CN118632615A
620662031,US2024371410A1
620782766,WO2024228879A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
622010840,CN119070068A
622010840,CN119070068A
622010840,CN119070068A
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
625436440,US2025045238A1
625436440,US2025045238A1
612372230,EP4471771A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
613354237,US2024203827A1
614397597,CN118314932A
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615268648,US2024250082A1
615726164,CN118448395B
615726164,CN118448395B
617607493,CN118632615A
617607493,CN118632615A
619971361,US2024357839A1
619971361,US2024357839A1
619971361,US2024357839A1
619971361,US2024357839A1
619971361,US2024357839A1
619971361,US2024357839A1
620662031,US2024371410A1
620662031,US2024371410A1
620782766,WO2024228879A1
620782766,WO2024228879A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
620982782,US2024379568A1
622010840,CN119070068A
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
622997408,US2024421080A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
624030320,US2025006250A1
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096424,US2023350830A1
601096945,US2023351063A1
601096945,US2023351063A1
601096945,US2023351063A1
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
604622270,US2024004814A1
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607571193,JP7451819B2
607855563,CN117711454B
607944098,WO2024054427A1
610901356,CN117998970A
622131238,US2024403240A1
622131238,US2024403240A1
622131238,US2024403240A1
587686357,EP4312260A1
587686357,EP4312260A1
587686357,EP4312260A1
587686357,EP4312260A1
587686357,EP4312260A1
587686357,EP4312260A1
587686357,EP4312260A1
588282307,KR102541302B1
588282307,KR102541302B1
588282307,KR102541302B1
588282307,KR102541302B1
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
592400524,US11776619B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
600724297,US12166027B2
602946831,US2023397442A1
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
602949804,US12046559B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
605235515,US12087352B2
